Witness (0<=n<999),Number of lies
0,164
676,18
901,18
374,17
944,16
766,15
824,15
900,15
946,15
989,15
293,14
307,14
524,14
557,14
584,14
638,14
734,14
526,13
562,13
566,13
568,13
776,13
818,13
874,13
904,13
976,13
256,12
274,12
278,12
316,12
373,12
419,12
460,12
571,12
606,12
631,12
674,12
694,12
704,12
712,12
736,12
782,12
898,12
899,12
926,12
932,12
974,12
991,12
995,12
68,11
149,11
157,11
191,11
230,11
242,11
268,11
302,11
362,11
386,11
398,11
411,11
426,11
451,11
467,11
482,11
494,11
501,11
514,11
521,11
538,11
626,11
628,11
629,11
649,11
652,11
664,11
757,11
781,11
802,11
803,11
809,11
820,11
826,11
841,11
854,11
862,11
881,11
892,11
993,11
998,11
166,10
209,10
211,10
221,10
226,10
244,10
295,10
314,10
352,10