Witness (0<=n<4999),Number of liars
0,665
4096,70
256,39
4624,36
4724,36
1432,33
2474,33
4117,33
4952,33
1296,32
1451,32
1918,32
4562,32
3464,31
4124,31
4852,31
4951,31
2414,30
3194,30
3449,30
4726,30
4913,30
1322,29
1576,29
1607,29
2393,29
2582,29
2834,29
3446,29
3466,29
4094,29
4274,29
4454,29
1303,28
1816,28
1844,28
2116,28
2789,28
2971,28
3149,28
3376,28
3536,28
3674,28
4330,28
901,27
1156,27
1207,27
1979,27
2382,27
2729,27
2792,27
3044,27
3106,27
3136,27
3254,27
3314,27
3571,27
3656,27
3926,27
4079,27
4086,27
4232,27
4276,27
4346,27
4558,27
4747,27
4924,27
16,26
374,26
676,26
900,26
1174,26
1832,26
1889,26
2078,26
2174,26
2458,26
2536,26
2806,26
3526,26
3781,26
3826,26
4164,26
4589,26
4713,26
4749,26
4784,26
4934,26
874,25
1101,25
1568,25
1574,25
1699,25
1772,25
2267,25
2836,25
2876,25
2906,25
2974,25